Area,Payment,Ownership,Status,Bedrooms,Bathrooms,PrivateGarden,price
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,500,000"
150,Cash or Installment,Primary,Ready,3,2,Yes,"EGP 11,500,000"
155,Cash,Resale,Ready,3,2,No,"EGP 6,500,000"
155,Cash,Resale,Ready,3,2,Yes,"EGP 6,500,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,520,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
110,Cash,Resale,Ready,2,2,No,"EGP 4,690,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,100,000"
155,Installment,Resale,Off-plan,3,3,No,"EGP 6,480,000"
140,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
125,Cash,Resale,Ready,2,3,Yes,"EGP 5,800,000"
140,Cash,Resale,Ready,3,3,No,"EGP 5,500,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,465,000"
165,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
165,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 6,758,419"
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,737,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,400,000"
110,Cash,Primary,Ready,2,2,Yes,"EGP 5,500,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,300,000"
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,380,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 8,300,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
235,Installment,Resale,Ready,3,3,No,"EGP 9,041,410"
90,Cash or Installment,Resale,Ready,1,2,Yes,"EGP 4,616,000"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,180,000"
180,Cash,Primary,Ready,3,3,No,"EGP 7,000,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,532,240"
170,Cash,Primary,Ready,3,3,No,"EGP 6,300,000"
70,Cash or Installment,Resale,Ready,1,1,No,"EGP 3,730,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 8,920,000"
140,Cash or Installment,Primary,Ready,3,2,Yes,"EGP 15,000,000"
135,Cash,Resale,Ready,3,3,No,"EGP 7,700,000"
155,Cash,Resale,Ready,3,3,No,"EGP 6,000,000"
140,Cash,Resale,Ready,2,3,Yes,"EGP 5,500,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 8,300,000"
155,Cash,Primary,Ready,3,3,Yes,"EGP 5,900,000"
180,Cash,Primary,Ready,3,3,Yes,"EGP 7,750,000"
140,Installment,Resale,Ready,3,3,Yes,"EGP 6,400,000"
90,Cash or Installment,Resale,Ready,2,2,Yes,"EGP 11,000,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
165,Cash,Resale,Ready,3,3,No,"EGP 7,500,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,530,000"
165,Cash,Primary,Ready,3,3,Yes,"EGP 6,150,000"
145,Cash,Resale,Ready,2,3,Yes,"EGP 6,200,000"
175,Cash,Resale,Ready,3,3,Yes,"EGP 8,270,000"
155,Cash,Primary,Ready,3,3,Yes,"EGP 5,900,000"
170,Cash,Primary,Ready,3,3,No,"EGP 6,000,000"
145,Cash,Primary,Ready,3,3,No,"EGP 5,350,000"
165,Cash,Primary,Ready,3,3,No,"EGP 5,250,000"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,520,000"
155,Cash,Primary,Ready,3,3,No,"EGP 5,000,000"
155,Cash,Primary,Ready,3,3,No,"EGP 5,000,000"
155,Cash,Primary,Ready,3,3,No,"EGP 5,000,000"
170,Cash,Primary,Ready,3,3,No,"EGP 5,950,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
145,Cash,Resale,Ready,2,2,No,"EGP 5,550,000"
165,Cash,Primary,Ready,3,3,No,"EGP 5,950,000"
141,Cash,Primary,Ready,3,3,Yes,"EGP 5,000,000"
160,Installment,Primary,Ready,3,3,Yes,"EGP 16,000,000"
155,Cash,Resale,Ready,3,3,No,"EGP 7,300,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 9,000,000"
160,Cash,Primary,Ready,3,3,Yes,"EGP 9,800,000"
165,Cash,Primary,Ready,3,3,Yes,"EGP 10,200,000"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,730,000"
160,Cash,Primary,Ready,3,3,Yes,"EGP 4,800,000"
180,Cash,Resale,Ready,3,3,No,"EGP 8,650,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 6,600,000"
140,Installment,Resale,Ready,3,3,No,"EGP 6,188,000"
174,Cash,Resale,Ready,3,3,No,"EGP 6,600,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,000,000"
140,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,977,940"
145,Cash,Resale,Ready,3,3,Yes,"EGP 8,800,000"
180,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 11,500,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 7,500,000"
180,Cash,Resale,Ready,3,3,Yes,"EGP 9,000,000"
160,Cash,Resale,Ready,3,2,Yes,"EGP 7,200,000"
170,Cash,Primary,Ready,3,3,No,"EGP 6,000,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 6,650,000"
115,Installment,Resale,Off-plan,2,2,Yes,"EGP 6,277,391"
165,Cash,Primary,Ready,3,3,No,"EGP 5,250,000"
145,Cash,Primary,Ready,3,3,No,"EGP 5,350,000"
140,Cash,Primary,Ready,2,3,No,"EGP 5,500,000"
240,Cash,Primary,Ready,3,3,No,"EGP 9,200,000"
165,Cash,Primary,Ready,3,3,No,"EGP 5,250,000"
135,Cash,Primary,Off-plan,3,3,No,"EGP 7,700,000"
140,Cash,Primary,Ready,3,3,No,"EGP 7,200,000"
131,Cash,Primary,Ready,2,2,No,"EGP 6,900,000"
120,Cash,Primary,Off-plan,2,2,No,"EGP 7,000,000"
150,Cash or Installment,Primary,Off-plan,3,3,Yes,"EGP 10,500,000"
165,Cash,Primary,Ready,3,3,No,"EGP 7,400,000"
160,Cash,Primary,Ready,3,3,No,"EGP 7,000,000"
165,Cash or Installment,Resale,Ready,3,3,Yes,"EGP 5,990,000"
140,Cash,Primary,Ready,2,2,No,"EGP 7,200,000"
155,Cash or Installment,Primary,Ready,3,3,No,"EGP 7,500,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
165,Cash,Primary,Ready,3,3,No,"EGP 6,150,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
169,Cash,Resale,Ready,3,3,No,"EGP 8,500,000"
132,Cash or Installment,Resale,Ready,2,2,No,"EGP 9,584,806"
155,Installment,Resale,Ready,3,3,Yes,"EGP 7,035,000"
150,Installment,Resale,Ready,3,3,No,"EGP 6,900,000"
235,Cash,Resale,Ready,3,3,No,"EGP 8,500,000"
235,Cash,Resale,Ready,3,3,No,"EGP 9,000,000"
170,Installment,Resale,Ready,3,3,No,"EGP 8,082,255"
